os,os_version,machine,processor,time,jj
Darwin,Darwin Kernel Version 21.6.0: Sun Dec 17 22:55:27 PST 2023; root:xnu-8020.240.18.706.2~1/RELEASE_X86_64,x86_64,i386,2024-08-06 18:58:26,k
Darwin,Darwin Kernel Version 21.6.0: Sun Dec 17 22:55:27 PST 2023; root:xnu-8020.240.18.706.2~1/RELEASE_X86_64,x86_64,i386,2024-08-06 18:58:36,k
Darwin,Darwin Kernel Version 21.6.0: Sun Dec 17 22:55:27 PST 2023; root:xnu-8020.240.18.706.2~1/RELEASE_X86_64,x86_64,i386,2024-08-06 18:58:46,k
Darwin,Darwin Kernel Version 21.6.0: Sun Dec 17 22:55:27 PST 2023; root:xnu-8020.240.18.706.2~1/RELEASE_X86_64,x86_64,i386,2024-08-06 18:58:54,k
Darwin,Darwin Kernel Version 21.6.0: Sun Dec 17 22:55:27 PST 2023; root:xnu-8020.240.18.706.2~1/RELEASE_X86_64,x86_64,i386,2024-08-06 18:58:56,k
Darwin,Darwin Kernel Version 21.6.0: Sun Dec 17 22:55:27 PST 2023; root:xnu-8020.240.18.706.2~1/RELEASE_X86_64,x86_64,i386,2024-08-06 18:59:04,k
Darwin,Darwin Kernel Version 21.6.0: Sun Dec 17 22:55:27 PST 2023; root:xnu-8020.240.18.706.2~1/RELEASE_X86_64,x86_64,i386,2024-08-06 18:59:06,k
Darwin,Darwin Kernel Version 21.6.0: Sun Dec 17 22:55:27 PST 2023; root:xnu-8020.240.18.706.2~1/RELEASE_X86_64,x86_64,i386,2024-08-06 18:59:24,k
Darwin,Darwin Kernel Version 21.6.0: Sun Dec 17 22:55:27 PST 2023; root:xnu-8020.240.18.706.2~1/RELEASE_X86_64,x86_64,i386,2024-08-06 18:59:26,k
Darwin,Darwin Kernel Version 21.6.0: Sun Dec 17 22:55:27 PST 2023; root:xnu-8020.240.18.706.2~1/RELEASE_X86_64,x86_64,i386,2024-08-06 18:59:34,k
